epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1473.28,1.15263,0.55556,0.89853,0.54092,0.32741,0.32692,0.12885,2.27846,1.88893,0.95915,0.000986206,0.000986206,0.000986206
43,1507.45,1.14123,0.57318,0.91615,0.54092,0.32741,0.32692,0.12885,2.27846,1.88893,0.95915,0.00099314,0.00099314,0.00099314
44,1542,1.14999,0.57536,0.9544,0.58851,0.35533,0.37498,0.14048,2.23758,1.68275,0.95859,0.000999282,0.000999282,0.000999282
45,1576.43,1.11497,0.56536,0.89769,0.58851,0.35533,0.37498,0.14048,2.23758,1.68275,0.95859,0.00100463,0.00100463,0.00100463
46,1610.82,1.10017,0.56523,0.90274,0.50536,0.39594,0.3605,0.14981,2.16553,1.68643,0.94983,0.00100919,0.00100919,0.00100919
47,1645.95,1.24285,0.59419,0.90376,0.50536,0.39594,0.3605,0.14981,2.16553,1.68643,0.94983,0.00101296,0.00101296,0.00101296
48,1680.69,1.20219,0.59887,0.94258,0.60119,0.38643,0.39344,0.16085,2.12615,1.5613,0.96157,0.00101593,0.00101593,0.00101593
49,1716.97,1.07126,0.54199,0.89449,0.60119,0.38643,0.39344,0.16085,2.12615,1.5613,0.96157,0.00101811,0.00101811,0.00101811
50,1753.51,1.09246,0.54472,0.9142,0.55921,0.38579,0.41535,0.16127,2.19807,1.36778,0.97465,0.0010195,0.0010195,0.0010195
51,1789.35,0.99989,0.52715,0.8882,0.55921,0.38579,0.41535,0.16127,2.19807,1.36778,0.97465,0.00101,0.00101,0.00101
52,1824.88,1.08122,0.55829,0.90187,0.56998,0.35661,0.39519,0.16485,2.14403,1.27973,0.95944,0.0009902,0.0009902,0.0009902
53,1860.43,1.06426,0.53586,0.91606,0.56998,0.35661,0.39519,0.16485,2.14403,1.27973,0.95944,0.0009704,0.0009704,0.0009704
54,1897.59,1.10309,0.56852,0.89345,0.60026,0.33539,0.39636,0.16856,2.10549,1.21425,0.95004,0.0009506,0.0009506,0.0009506
55,1934.12,0.99918,0.52838,0.9017,0.60026,0.33539,0.39636,0.16856,2.10549,1.21425,0.95004,0.0009308,0.0009308,0.0009308
56,1969.12,1.03365,0.53907,0.88432,0.64657,0.3731,0.43731,0.18251,2.13768,1.15911,0.95783,0.000911,0.000911,0.000911
57,2003.7,1.13175,0.54857,0.90996,0.64657,0.3731,0.43731,0.18251,2.13768,1.15911,0.95783,0.0008912,0.0008912,0.0008912
58,2038.36,1.04734,0.51775,0.90563,0.63279,0.40102,0.44543,0.18248,2.1335,1.18954,0.95525,0.0008714,0.0008714,0.0008714
59,2072.63,0.94205,0.53335,0.89994,0.63279,0.40102,0.44543,0.18248,2.1335,1.18954,0.95525,0.0008516,0.0008516,0.0008516
60,2107.31,1.00399,0.50933,0.8515,0.61588,0.39086,0.45057,0.19173,2.08417,1.1987,0.94708,0.0008318,0.0008318,0.0008318
61,2141.75,0.96914,0.4819,0.85536,0.61588,0.39086,0.45057,0.19173,2.08417,1.1987,0.94708,0.000812,0.000812,0.000812
62,2176.79,0.98546,0.49408,0.84722,0.66963,0.35533,0.4597,0.18994,2.12811,1.21048,0.96357,0.0007922,0.0007922,0.0007922
63,2211.25,0.92851,0.47099,0.89247,0.66963,0.35533,0.4597,0.18994,2.12811,1.21048,0.96357,0.0007724,0.0007724,0.0007724
64,2245.87,0.91454,0.47697,0.88526,0.64735,0.36548,0.45542,0.18106,2.23556,1.24745,0.9812,0.0007526,0.0007526,0.0007526
65,2280.29,1.01897,0.50292,0.89178,0.64735,0.36548,0.45542,0.18106,2.23556,1.24745,0.9812,0.0007328,0.0007328,0.0007328
66,2314.81,0.99593,0.47852,0.88785,0.61974,0.3731,0.46563,0.19082,2.1393,1.27354,0.97043,0.000713,0.000713,0.000713
67,2349.01,0.94251,0.4689,0.88534,0.61974,0.3731,0.46563,0.19082,2.1393,1.27354,0.97043,0.0006932,0.0006932,0.0006932
68,2383.67,1.01474,0.50715,0.89026,0.59637,0.38579,0.46273,0.19707,2.07141,1.23373,0.95167,0.0006734,0.0006734,0.0006734
69,2418.3,0.96504,0.50307,0.86136,0.59637,0.38579,0.46273,0.19707,2.07141,1.23373,0.95167,0.0006536,0.0006536,0.0006536
70,2452.86,0.92019,0.4868,0.8744,0.61601,0.37052,0.4635,0.19437,2.06402,1.17724,0.94186,0.0006338,0.0006338,0.0006338
71,2487.11,0.98981,0.47771,0.8546,0.61601,0.37052,0.4635,0.19437,2.06402,1.17724,0.94186,0.000614,0.000614,0.000614
72,2521.51,0.87236,0.43346,0.8581,0.68259,0.35279,0.45013,0.19025,2.10342,1.14251,0.94521,0.0005942,0.0005942,0.0005942
73,2556.68,0.93653,0.48221,0.84702,0.68259,0.35279,0.45013,0.19025,2.10342,1.14251,0.94521,0.0005744,0.0005744,0.0005744
74,2590.93,0.90077,0.45674,0.85733,0.65739,0.40102,0.46634,0.19439,2.11187,1.08,0.94966,0.0005546,0.0005546,0.0005546
75,2625.52,0.84369,0.42636,0.84476,0.65739,0.40102,0.46634,0.19439,2.11187,1.08,0.94966,0.0005348,0.0005348,0.0005348
76,2660.11,0.90177,0.45503,0.85581,0.66936,0.40102,0.48189,0.20363,2.05686,1.00701,0.9405,0.000515,0.000515,0.000515
77,2694.24,0.81972,0.42757,0.84417,0.66936,0.40102,0.48189,0.20363,2.05686,1.00701,0.9405,0.0004952,0.0004952,0.0004952
78,2729.12,0.88806,0.45447,0.87256,0.71315,0.40102,0.49441,0.21523,1.98816,0.96408,0.93265,0.0004754,0.0004754,0.0004754
79,2763.42,0.86815,0.44585,0.85227,0.71315,0.40102,0.49441,0.21523,1.98816,0.96408,0.93265,0.0004556,0.0004556,0.0004556
80,2798.02,0.89304,0.44584,0.84721,0.6658,0.4264,0.50823,0.22105,1.99047,0.96116,0.93831,0.0004358,0.0004358,0.0004358
81,2832.7,0.88646,0.43036,0.81958,0.6658,0.4264,0.50823,0.22105,1.99047,0.96116,0.93831,0.000416,0.000416,0.000416
